subscriber_id,account_id,email,subscription_status,date_added
a7e8218a-9958-45b8-a2b1-95038d1422e6,5f4be94d-3d7d-49dc-b3af-efa0310df0de,hammondsusan@hotmail.com,bounced,2025-04-12 16:40:03
6d5e8337-dd4d-41ce-8b88-94d9322cf13d,2be83aab-6b78-4c0c-bc39-0da61b27beee,robert46@gmail.com,unsubscribed,2025-03-22 16:41:14
06fb5a69-9f94-463c-99e7-e926931f49b0,2b894689-ef80-479d-9dee-a74bb3af4a56,katelyn39@gmail.com,unsubscribed,2025-05-22 20:19:24
f7637aa4-c9c0-402e-926a-1b7a141f6e64,3f805ab2-5d61-4902-9857-30940038d3ee,robert17@lewis.net,bounced,2025-07-15 02:24:46
2d8d2de6-6ca6-428e-bc8b-8b663bbc2c18,243546de-3c96-4987-a4eb-137ee4e1cfc6,laurasmith@franklin-hill.com,active,2025-01-06 09:22:12
77b7b41e-c052-429c-bfe5-2ffb0c9334ce,4980271f-00fd-4ecd-9b5d-197a6579a211,melinda40@gmail.com,unsubscribed,2025-04-06 07:11:43
2e7685d4-0385-46bb-9f78-4bf1a68f1623,205dc98f-39c6-4dae-8242-813d1a39ddf9,lauren56@gmail.com,active,2025-04-25 15:40:39
20cfd0e9-5a0e-42cd-8e54-805dcce89992,a8e40020-e206-4f6e-80b0-74192060f6ed,john92@gmail.com,bounced,2025-07-15 14:27:10
10ef5e4a-eec1-4911-9a0e-6d9479411038,23dc0bb4-ef5c-4bd9-aae2-1994f4d94345,cwatts@yahoo.com,bounced,2025-03-21 20:37:38
df6636f3-9989-471a-a3cc-a8bf752dc3a9,82c63639-8618-42d3-96cf-119f0138c650,sarcher@hotmail.com,unsubscribed,2025-04-29 01:09:20
593981f4-8b1a-4468-9db7-f3e5802caa90,a39d20c7-8151-4b10-ba2b-df05bf828260,lorrainegillespie@clements.com,unsubscribed,2025-05-24 23:19:37
62936bfa-2c7c-4319-9d75-30302b9737a6,495a7462-bfb1-4f15-8c8e-279ed6d44e32,howardtonya@harris-contreras.net,unsubscribed,2025-04-18 23:31:26
7dc0c2ed-4b61-45d6-94ad-feea33c757c5,391c64e1-3495-47d5-859f-478e8d01319c,rebeccawilliams@hotmail.com,unsubscribed,2025-01-13 04:26:22
56c318fe-eef9-4e04-9e15-1cedb7b4587d,fe3ccbac-eb8c-44e4-a02c-7e1960f6dd4d,kinganna@duncan-collins.com,unsubscribed,2025-01-25 17:34:59
d3b01c51-3aec-4460-99b9-803d4b8a7fbe,9bf59aa8-10da-4f81-a08d-53bde30607a5,galvanluis@smith.com,active,2025-02-13 18:27:31
108f4a5d-ae59-4b33-a3de-64e31759e261,380520a8-8b20-4b57-b74b-e7c9dcff2792,millercesar@yahoo.com,bounced,2025-04-24 21:16:25
81f18580-adc3-4afd-91f6-7410cfa3b6a5,572b7277-b21c-4778-836d-49a771d5337a,monicaaguilar@hotmail.com,active,2025-04-16 18:59:39
baf81f4b-7e63-4df2-90ba-fc6ed9a82eba,6a4ade0d-809b-4f11-b57a-55d72829eb7a,cbarrett@hotmail.com,active,2025-05-03 00:59:45
4d5d00e3-6889-40a6-958e-039b964a7b3b,e11a7ac2-0e31-4bc4-8cf1-93e680b7b7e2,scummings@woodward.org,unsubscribed,2025-07-02 02:57:46
918180b9-d61f-452b-9644-51cd0cc11bd5,598eeb4b-c528-499f-9a42-64d3724619df,haleysandoval@yahoo.com,unsubscribed,2025-01-23 20:44:21
197c63b2-f972-45af-b0d9-8323dbef8809,54408f0b-1d82-4906-b208-905db732e992,tvasquez@gibbs.com,bounced,2025-03-30 20:14:49
a168ec0c-ebc4-471e-b3d8-6d301465ce2d,4fad564d-7962-46eb-9d37-958636ed4508,alvarezwayne@yahoo.com,unsubscribed,2025-03-14 14:35:53
c2ee5068-3cc4-47bd-b5d9-36f6ccf36a00,f5a64a00-7e53-43cc-b548-05518d6a1b06,rgreer@stanley.net,active,2025-06-30 01:00:54
d0fcf867-82ef-4422-b8fd-54a69c125b2d,d37917e3-b76e-4c72-a82b-934e7f219120,bryantgregory@yahoo.com,unsubscribed,2025-07-01 08:10:13
b2b586ef-3faa-4e77-a450-d5749625d653,e9654b72-a87c-4b9d-b557-1d880fea8fe3,daniel29@yahoo.com,unsubscribed,2025-06-25 19:42:06
